nct_id,title,overall_status,study_type,completion_date,lead_sponsor,lead_sponsor_class,collaborator,collaborator_class,phase,locations,has_drug_intervention,drugs,disposition_date,results_date,enrollment,phase_normalised,is_completed,is_overdue,pubmed_results
NCT00000406,Effects of Strength Training on Knee Osteoarthritis,Completed,Interventional,2006-11-01,Indiana University,Other,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,2,United States,False,,,,280.0,2,True,True,False
NCT00000537,Stress Reduction & CVD Morbidity and Mortality in Blacks,Completed,Interventional,2008-07-01,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,,,2,,False,,,,,2,True,True,False
NCT00000554,Women's Ischemia Syndrome Evaluation (WISE),Completed,Interventional,2007-04-01,University of Pittsburgh,Other,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,3,,False,,,,,3,True,False,True
NCT00000603,Cord Blood Stem Cell Transplantation Study (COBLT),Completed,Interventional,2007-10-01,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,,,2,,False,,,,,2,True,False,True
NCT00000619,Evaluation Study of Congestive Heart Failure and Pulmonary Artery Catheterization Effectiveness (ESCAPE),Completed,Interventional,2006-03-01,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,,,3,,False,,,,,3,True,False,True
NCT00000620,Action to Control Cardiovascular Risk in Diabetes (ACCORD),Completed,Interventional,2009-06-01,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) National Institute on Aging (NIA) National Eye Institute (NEI) Centers for Disease Control and Prevention,NIH NIH NIH U.S. Fed,3,Canada United States,True,Anti-hyperglycemic Agents; Anti-hypertensive Agents; Blinded fenofibrate or placebo plus simvastatin; ,,2014-09-05,10251.0,3,True,False,False
NCT00000889,A Study to Evaluate the Effects of Giving Interleukin-2 (IL-2) Plus Anti-HIV Therapy to HIV-Positive Patients With CD4 Cell Counts of at Least 350 Cells/mm3,Completed,Interventional,2009-06-01,National Institute of Allergy and Infectious Diseases (NIAID),NIH,,,2,Argentina,True,Aldesleukin; ,,,72.0,2,True,True,False
NCT00001131,Effectiveness of Interleukin-2 (IL-2) Plus Anti-HIV Therapy in HIV-Positive Patients,Completed,Interventional,2007-06-01,National Institute of Allergy and Infectious Diseases (NIAID),NIH,,,,United States,True,Aldesleukin; HAART; ,,,42.0,5,True,True,False
NCT00001213,Cysteamine Eye Drops to Treat Corneal Crystals in Cystinosis,Completed,Interventional,2013-07-01,National Eye Institute (NEI),NIH,,,2,United States,True,Cysteamine; ,,2014-06-20,328.0,2,True,False,False
NCT00001304,Treatment of Hypoparathyroidism With Synthetic Human Parathyroid Hormone 1-34,Completed,Interventional,2014-03-01,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,,,2,United States,True,Synthetic Human Parathyroid Hormone 1-34; Calcitriol & Calcium; ,,2015-03-12,27.0,2,True,False,False
NCT00001426,"A Multi-Institutional Phase II Study of Cyclophosphamide, Paclitaxel, Cisplatin With G-CSF for Patients With Newly Diagnosed Advanced Stage Ovarian Cancer",Completed,Interventional,2007-10-01,National Cancer Institute (NCI),NIH,,,2,United States,True,Cyclophosphamide; Paclitaxel; Cisplatin; G-CSF; ,,,47.0,2,True,True,False
NCT00001564,A Pilot Study of Tumor-Specific Peptide Vaccination and IL-2 With or Without Autologous T Cell Transplantation in Recurrent Pediatric Sarcomas,Completed,Interventional,2007-10-01,National Cancer Institute (NCI),NIH,,,2,United States,True,EF-1 Peptide; EF-2 Peptide; PXFK Peptide; E7 Peptide; IL-2; IL-4; GM-CSF; CD40 Ligand; ,,,30.0,2,True,True,False
NCT00001566,A Pilot Study of Autologous T-Cell Transplantation With Vaccine Driven Expansion of Anti-Tumor Effectors After Cytoreductive Therapy in Metastatic Pediatric Sarcomas,Completed,Interventional,2008-09-01,National Cancer Institute (NCI),NIH,,,2,United States,True,indinavir sulfate; ,,2012-03-28,42.0,2,True,False,False
NCT00001586,Treatment of Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL): DNA Microarray Gene Expression Analysis,Completed,Interventional,2011-11-01,National Cancer Institute (NCI),NIH,,,2,United States,True,Fludarabine phosphate; ,,2012-12-18,105.0,2,True,False,False
NCT00001623,Bone Marrow Transplant Studies for Safe and Effective Treatment of Leukemia,Completed,Interventional,2008-01-01,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,,,,United States,False,,,,41.0,5,True,False,True
NCT00001637,Immunosuppressive Preparation Followed by Blood Cell Transplant for the Treatment of Blood Cancers in Older Adults,Completed,Interventional,2008-07-01,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,,,2,United States,False,,,,28.0,2,True,True,False
NCT00001656,Comparison of Clozapine vs Olanzapine in Childhood-Onset Psychotic Disorders,Completed,Interventional,2008-06-01,National Institute of Mental Health (NIMH),NIH,,,4,United States,True,Olanzapine; Clozapine; ,,2011-03-02,25.0,4,True,False,False
NCT00001723,Safety and Efficacy of Xenical in Children and Adolescents With Obesity-Related Diseases,Completed,Interventional,2011-10-01,Jack Yanovski,NIH,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD) Roche Pharma AG,NIH Industry,2,United States,True,Orlistat; Placebo; ,,2012-10-11,200.0,2,True,False,False
NCT00001728,Alendronate to Treat Polyostotic Fibrous Dysplasia and McCune-Albright Syndrome,Completed,Interventional,2007-08-01,National Institute of Dental and Craniofacial Research (NIDCR),NIH,,,2,United States,True,Fosamax (Alendronate); ,,,40.0,2,True,False,True
NCT00001832,Lymphocyte Re-infusion During Immune Suppression to Treat Metastatic Melanoma,Completed,Interventional,2010-05-01,National Cancer Institute (NCI),NIH,,,2,United States,True,gp100:209-217 (210M); Montanide ISA-51; IL-2; MART-1:26-35(27L); Fludarabine; Cyclophosphamide; ,,2012-11-07,170.0,2,True,False,False
NCT00001854,Long-Term Therapy With Ribavirin for Chronic Hepatitis C,Completed,Interventional,2007-10-01,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,,,4,United States,True,Ribavirin; ,,,50.0,4,True,True,False
NCT00001873,The Role of Cyclosporine in Blood Cell Transplants With T-Cell Add-Back for Blood Cancers,Completed,Interventional,2007-12-01,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,,,2,United States,False,,,,102.0,2,True,False,True
NCT00001959,Pirfenidone to Treat Kidney Disease (Focal Segmental Glomerulosclerosis),Completed,Interventional,2008-10-01,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,,,2,United States,True,Pirfenidone; ,,2010-06-16,21.0,2,True,False,False
NCT00001984,Effectiveness of the Investigational Drug Campath-1H in Preventing Rejection of Transplanted Kidneys,Completed,Interventional,2008-06-01,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,,,2,United States,True,Alemtuzumab and DSG; ,,2010-09-13,5.0,2,True,False,False
NCT00002463,Combination Chemotherapy in Treating Children With Astrocytomas and Primitive Neuroectodermal Tumors,Completed,Interventional,2007-01-01,M.D. Anderson Cancer Center,Other,National Cancer Institute (NCI),NIH,2,United States,True,MOPP Regimen; Leucovorin Calcium; Mechlorethamine Hydrochloride; Methotrexate; Prednisone; Procarbazine Hydrochloride; Vincristine Sulfate; ,,,4.0,2,True,True,False
NCT00002473,Kidney-Sparing Surgery Compared With Kidney Removal in Treating Patients With Kidney Cancer,Completed,Interventional,2011-02-01,European Organisation for Research and Treatment of Cancer - EORTC,Other,Eastern Cooperative Oncology Group American College of Surgeons Southwest Oncology Group NCIC Clinical Trials Group,Other Other Other Other,3,Canada,False,,,,,3,True,False,True
NCT00002475,Cyclophosphamide Plus Vaccine Therapy in Treating Patients With Advanced Cancer,Completed,Interventional,2007-12-01,St. Vincent Medical Center - Los Angeles,Other,,,2,United States,True,cyclophosphamide; ,,,40.0,2,True,True,False
NCT00002514,Stem Cell Transplantation Compared With Standard Chemotherapy in Treating Patients With Acute Lymphoblastic Leukemia in First Remission,Completed,Interventional,2006-12-01,Eastern Cooperative Oncology Group,Other,National Cancer Institute (NCI) Medical Research Council,NIH Other,3,United States,True,asparaginase; cyclophosphamide; cytarabine; daunorubicin hydrochloride; dexamethasone; etoposide; imatinib mesylate; leucovorin calcium; mercaptopurine; methotrexate; prednisone; thioguanine; vincristine sulfate; ,,,1929.0,3,True,False,True
NCT00002517,Combination Chemotherapy in Treating Children With Newly Diagnosed Acute Myeloid Leukemia or Myelodysplastic Syndrome,Completed,Interventional,2010-05-01,European Organisation for Research and Treatment of Cancer - EORTC,Other,,,3,Belgium France Portugal,True,cytarabine; daunorubicin hydrochloride; dexamethasone; etoposide; idarubicin; mitoxantrone hydrochloride; thioguanine; ,,,,3,True,True,False
NCT00002529,Hormone Therapy and Chemotherapy in Treating Perimenopausal or Postmenopausal Women With Node-Positive Breast Cancer,Completed,Interventional,2010-08-01,International Breast Cancer Study Group,Other,,,3,Australia Italy New Zealand Slovenia South Africa Sweden Switzerland,True,cyclophosphamide; doxorubicin hydrochloride; epirubicin hydrochloride; tamoxifen citrate; toremifene; ,,,452.0,3,True,True,False
NCT00002533,Fluconazole in Preventing Mucositis in Patients Undergoing Radiation Therapy for Head and Neck Cancer,Completed,Interventional,2006-06-01,University of Miami Sylvester Comprehensive Cancer Center,Other,,,2/3,United States,True,fluconazole; ,,,,2,True,True,False
NCT00002536,Surgery With or Without Chemotherapy in Treating Patients With Stage IB Cervical Cancer,Completed,Interventional,2007-08-01,Gynecologic Oncology Group,Other,National Cancer Institute (NCI),NIH,3,United States,True,cisplatin; vincristine sulfate; ,,,,3,True,True,False
NCT00002538,"Laparoscopic Staging in Patients With Ovarian, Fallopian Tube, or Other Primary Abdominal Cancers",Completed,Interventional,2010-03-01,Gynecologic Oncology Group,Other,National Cancer Institute (NCI),NIH,2,United States,False,,,,,2,True,True,False
NCT00002542,Tamoxifen in Treating Women With High-Risk Breast Cancer,Completed,Interventional,2011-01-01,NCIC Clinical Trials Group,Other,,,3,Canada,True,CMF regimen; cyclophosphamide; doxorubicin hydrochloride; epirubicin hydrochloride; fluorouracil; methotrexate; tamoxifen citrate; ,,,800.0,3,True,True,False
NCT00002546,Radiation Therapy Compared With Combination Chemotherapy in Treating Patients With Cancer of the Uterus,Completed,Interventional,2007-09-01,Gynecologic Oncology Group,Other,National Cancer Institute (NCI) Eastern Cooperative Oncology Group,NIH Other,3,South Africa United States,True,cisplatin; ifosfamide; ,,,216.0,3,True,True,False
NCT00002551,SWOG-9304 Chemotherapy Plus Radiation Therapy in Treating Patients With Rectal Cancer That Has Been Surgically Removed,Completed,Interventional,2006-08-01,Southwest Oncology Group,Other,National Cancer Institute (NCI) Eastern Cooperative Oncology Group Radiation Therapy Oncology Group North Central Cancer Treatment Group NCIC Clinical Trials Group Cancer and Leukemia Group B,NIH Other Other Other Other Other,3,Canada South Africa United States,True,fluorouracil; leucovorin calcium; levamisole hydrochloride; ,,,1917.0,3,True,True,False
NCT00002556,Combination Chemotherapy With or Without High Dose Cyclophosphamide and Recombinant Interferon Alfa-2b in Treating Patients With Previously Untreated Stage I-III Multiple Myeloma,Completed,Interventional,2006-01-01,National Cancer Institute (NCI),NIH,,,3,United States,True,vincristine sulfate; carmustine; melphalan; cyclophosphamide; prednisone; ,,,312.0,3,True,True,False
NCT00002561,Radiation Therapy and Chemotherapy in Treating Patients With Hodgkin's Disease,Completed,Interventional,2010-12-01,NCIC Clinical Trials Group,Other,Eastern Cooperative Oncology Group,Other,3,Canada Italy United Kingdom,True,dacarbazine; doxorubicin hydrochloride; vinblastine; ,,,405.0,3,True,False,True
NCT00002565,Combination Chemotherapy in Treating Patients With Intermediate-Grade or Immunoblastic Non-Hodgkin's Lymphoma,Completed,Interventional,2007-02-01,M.D. Anderson Cancer Center,Other,National Cancer Institute (NCI),NIH,3,Brazil Chile United States,True,CHOP regimen; cisplatin; cyclophosphamide; cytarabine; doxorubicin hydrochloride; etoposide; idarubicin; ifosfamide; mesna; methylprednisolone; mitoxantrone hydrochloride; prednisone; vincristine sulfate; ,,,61.0,3,True,True,False
NCT00002578,Gallium Nitrate in Treating Patients With AIDS-Related Non-Hodgkin's Lymphoma,Completed,Interventional,2007-01-01,Roswell Park Cancer Institute,Other,National Cancer Institute (NCI),NIH,2,United States,True,cytarabine; gallium nitrate; leucovorin calcium; methotrexate; ,,,35.0,2,True,True,False
NCT00002597,Radiation Therapy With or Without Antiandrogen Therapy in Treating Patients With Stage I or Stage II Prostate Cancer,Completed,Interventional,2011-07-01,Radiation Therapy Oncology Group,Other,National Cancer Institute (NCI),NIH,3,Canada United States,True,flutamide; goserelin acetate; leuprolide acetate; ,,,2028.0,3,True,False,True
NCT00002601,Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Sarcoma,Completed,Interventional,2014-09-01,City of Hope Medical Center,Other,National Cancer Institute (NCI),NIH,2,United States,True,cisplatin; doxorubicin hydrochloride; ifosfamide; melphalan; ,,,13.0,2,True,True,False
NCT00002633,Hormone Therapy With or Without Surgery or Radiation Therapy in Treating Patients With Prostate Cancer,Completed,Interventional,2010-12-01,NCIC Clinical Trials Group,Other,National Cancer Institute (NCI) Eastern Cooperative Oncology Group Southwest Oncology Group Medical Research Council,NIH Other Other Other,3,Canada,True,bicalutamide; buserelin; flutamide; goserelin; leuprolide acetate; nilutamide; ,,,361.0,3,True,False,True
NCT00002641,Surgery With or Without Chemotherapy in Treating Patients With Soft Tissue Sarcoma,Completed,Interventional,2006-02-01,European Organisation for Research and Treatment of Cancer - EORTC,Other,NCIC Clinical Trials Group,Other,3,Austria Belgium Canada Denmark France Germany Italy Netherlands Portugal Slovakia Spain Switzerland United Kingdom,True,doxorubicin hydrochloride; ifosfamide; isolated perfusion; ,,,350.0,3,True,False,True
NCT00002649,"Interleukin-2 or Observation Following Radiation Therapy, Combination Chemotherapy, and Peripheral Stem Cell Transplantation in Treating Patients With Recurrent Non-Hodgkin's Lymphoma",Completed,Interventional,2006-11-01,National Cancer Institute (NCI),NIH,,,3,United States,True,cyclophosphamide; etoposide; ,,,206.0,3,True,False,True
NCT00002676,Chemotherapy and Whole-Brain Radiation Therapy in Treating Patients With Primary Central Nervous System Non- Hodgkin's Lymphoma,Completed,Interventional,2006-10-01,Alliance for Clinical Trials in Oncology,Other,National Cancer Institute (NCI),NIH,2,United States,True,carmustine; cyclophosphamide; cytarabine; dexamethasone; doxorubicin hydrochloride; methotrexate; vincristine sulfate; ,,,36.0,2,True,True,False
NCT00002684,Combination Chemotherapy in Patients With Advanced Urinary Tract Cancer,Completed,Interventional,2007-10-01,Memorial Sloan Kettering Cancer Center,Other,,,2,United States,True,cisplatin; ifosfamide; paclitaxel; ,,,40.0,2,True,True,False
NCT00002706,Laparoscopic Surgery or Standard Surgery in Treating Patients With Endometrial Cancer or Cancer of the Uterus,Completed,Interventional,2010-03-01,Gynecologic Oncology Group,Other,National Cancer Institute (NCI),NIH,3,United States,False,,,,2616.0,3,True,True,False
NCT00002716,Combination Chemotherapy in Treating Patients With Liver Metastases From Colorectal Cancer,Completed,Interventional,2006-03-01,Alliance for Clinical Trials in Oncology,Other,National Cancer Institute (NCI),NIH,3,Australia Peru Puerto Rico United States,True,dexamethasone; floxuridine; fluorouracil; leucovorin calcium; ,,,135.0,3,True,True,False
NCT00002717,Paclitaxel and Cisplatin in Treating Patients With Stage III or Stage IV Ovarian Cancer or Primary Peritoneal Cancer,Completed,Interventional,2007-10-01,Gynecologic Oncology Group,Other,National Cancer Institute (NCI),NIH,3,United States,True,cisplatin; paclitaxel; ,,,324.0,3,True,True,False
NCT00002738,"Combination Chemotherapy in Treating Children With Acute Lymphoblastic Leukemia, Osteosarcoma, or Non-Hodgkin's Lymphoma",Completed,Interventional,2006-06-01,Memorial Sloan Kettering Cancer Center,Other,National Cancer Institute (NCI),NIH,2,United States,True,leucovorin calcium; trimetrexate glucuronate; ,,,25.0,2,True,True,False
NCT00002756,Induction Intensification in Treating Infants With Newly Diagnosed Acute Lymphoblastic Leukemia,Completed,Interventional,2007-09-01,Children's Oncology Group,Other,National Cancer Institute (NCI),NIH,2,Australia Canada Switzerland United States,True,asparaginase; cyclophosphamide; cytarabine; daunorubicin hydrochloride; etoposide; leucovorin calcium; mercaptopurine; methotrexate; prednisone; therapeutic hydrocortisone; vincristine sulfate; ,,,221.0,2,True,True,False
NCT00002766,Comparison of Two Combination Chemotherapy Regimens in Treating Adults With Previously Untreated Leukemia or Lymphoma,Completed,Interventional,2011-09-01,Memorial Sloan Kettering Cancer Center,Other,National Cancer Institute (NCI),NIH,3,United States,True,carmustine; cyclophosphamide; cytarabine; daunorubicin hydrochloride; doxorubicin hydrochloride; etoposide; mercaptopurine; methotrexate; mitoxantrone hydrochloride; pegaspargase; prednisone; vincristine sulfate; ,,2015-12-17,170.0,3,True,False,False
NCT00002784,High-Dose Combination Chemotherapy Plus Peripheral Stem Cell Transplantation Compared With Standard Combination Chemotherapy in Treating Women With High-Risk Breast Cancer,Completed,Interventional,2011-08-01,International Breast Cancer Study Group,Other,,,3,Australia Switzerland,True,CMF regimen; cyclophosphamide; doxorubicin hydrochloride; epirubicin hydrochloride; fluorouracil; mesna; methotrexate; tamoxifen citrate; ,,,344.0,3,True,True,False
NCT00002798,Combination Chemotherapy With or Without Bone Marrow Transplantation in Treating Children With Acute Myelogenous Leukemia or Myelodysplastic Syndrome,Completed,Interventional,2006-09-01,National Cancer Institute (NCI),NIH,,,3,United States,True,asparaginase; daunorubicin hydrochloride; fludarabine phosphate; therapeutic hydrocortisone; cytarabine; idarubicin; dexamethasone; thioguanine; etoposide; methotrexate; cyclophosphamide; busulfan; ,,,880.0,3,True,False,True
NCT00002807,Radiation Therapy or Observation Only in Treating Patients With Endometrial Cancer Who Have Undergone Surgery,Completed,Interventional,2007-03-01,NCIC Clinical Trials Group,Other,,,3,Australia Canada United States,False,,,,116.0,3,True,False,True
NCT00002810,High-Dose Melphalan Followed by Peripheral Stem Cell Transplant in Treating Patients With Amyloidosis,Completed,Interventional,2006-05-01,Temple University,Other,,,2,United States,True,melphalan; ,,,,2,True,True,False
NCT00002812,Combination Chemotherapy in Treating Children With Acute Lymphocytic Leukemia,Completed,Interventional,2006-03-01,Children's Oncology Group,Other,National Cancer Institute (NCI),NIH,3,Australia Canada United States,True,asparaginase; cyclophosphamide; cytarabine; daunorubicin hydrochloride; dexamethasone; doxorubicin hydrochloride; idarubicin; mercaptopurine; methotrexate; pegaspargase; prednisone; thioguanine; vincristine sulfate; ,,,2078.0,3,True,False,True
NCT00002836,Filgrastim Plus Chemotherapy Compared With Filgrastim Alone In Treating Women Undergoing Peripheral Stem Cell Transplantation For Breast Cancer,Completed,Interventional,2006-03-01,M.D. Anderson Cancer Center,Other,National Cancer Institute (NCI),NIH,3,United States,True,Carmustine; Cisplatin; Cyclophosphamide (CTX); Etoposide; Thiotepa; ,,,184.0,3,True,True,False
NCT00002842,Liver Resection and Floxuridine Plus Fluorouracil and Leucovorin in Treating Patients With Liver Metastases From Colorectal Cancer,Completed,Interventional,2014-05-01,City of Hope Medical Center,Other,National Cancer Institute (NCI),NIH,2,United States,True,floxuridine; fluorouracil; leucovorin calcium; ,,,49.0,2,True,True,False
NCT00002850,Antibiotic Therapy in Preventing Early Infection in Patients With Multiple Myeloma Who Are Receiving Chemotherapy,Completed,Interventional,2011-04-01,Gary Morrow,Other,National Cancer Institute (NCI) Eastern Cooperative Oncology Group,NIH Other,3,Peru South Africa United States,True,ciprofloxacin; ofloxacin; 160 mg trimethoprim and 800 mg sulfamethoxazole; ,,2014-07-10,212.0,3,True,False,False
NCT00002860,SWOG-9430: Surgery in Treating Patients With Metastatic Melanoma,Completed,Interventional,2006-12-01,Southwest Oncology Group,Other,National Cancer Institute (NCI) Eastern Cooperative Oncology Group,NIH Other,2,United States,False,,,,77.0,2,True,True,False
NCT00002864,"Tamoxifen With or Without Octreotide in Treating Postmenopausal Women With Stage I, Stage II, or Stage III Breast Cancer",Completed,Interventional,2007-10-01,NCIC Clinical Trials Group,Other,,,3,Canada United States,True,octreotide acetate; tamoxifen citrate; ,,,667.0,3,True,False,True
NCT00002875,Radiation Therapy Plus Combination Chemotherapy in Treating Children With Medulloblastoma,Completed,Interventional,2006-02-01,Children's Oncology Group,Other,National Cancer Institute (NCI) Pediatric Oncology Group,NIH Other,3,Australia Canada Puerto Rico Switzerland United States,True,cisplatin; cyclophosphamide; lomustine; mesna; vincristine sulfate; ,,,421.0,3,True,True,False
NCT00002879,Cladribine in Patients With Mantle Cell Lymphoma,Completed,Interventional,2008-12-01,Alliance for Clinical Trials in Oncology,Other,National Cancer Institute (NCI),NIH,2,Canada United States,True,cladribine; ,,,51.0,2,True,True,False
NCT00002920,"S9630, Medroxyprogesterone in Treating Women With Breast Cancer",Completed,Interventional,2006-12-01,Southwest Oncology Group,Other,National Cancer Institute (NCI) Cancer and Leukemia Group B,NIH Other,3,United States,True,medroxyprogesterone; tamoxifen citrate; ,,,313.0,3,True,True,False
NCT00002935,Photodynamic Therapy in Treating Patients With Early Esophageal Cancer,Completed,Interventional,2006-08-01,Roswell Park Cancer Institute,Other,,,2,United States,True,porfimer sodium; ,,,30.0,2,True,True,False
NCT00002944,Combination Chemotherapy in Treating Children With Progressive Brain Tumors,Completed,Interventional,2006-02-01,Children's Oncology Group,Other,National Cancer Institute (NCI),NIH,3,Australia Canada Netherlands New Zealand Switzerland United States,True,carboplatin; lomustine; procarbazine hydrochloride; thioguanine; vincristine sulfate; ,,,428.0,3,True,True,False
NCT00002963,Photodynamic Therapy in Treating Patients With Skin Cancer,Completed,Interventional,2007-06-01,Roswell Park Cancer Institute,Other,,,2,United States,True,aminolevulinic acid hydrochloride; ,,,,2,True,True,False
NCT00002975,Photodynamic Therapy in Treating Patients With Skin Cancer,Completed,Interventional,2009-04-01,Roswell Park Cancer Institute,Other,National Cancer Institute (NCI),NIH,2,United States,True,aminolevulinic acid; ,,2013-06-28,180.0,2,True,False,False
NCT00002985,Doxorubicin in Treating Patients With AIDS-Related Kaposi's Sarcoma,Completed,Interventional,2007-01-01,Roswell Park Cancer Institute,Other,,,3,United States,True,daunorubicin hydrochloride; pegylated liposomal doxorubicin hydrochloride; ,,,,3,True,True,False
NCT00002995,Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Newly Diagnosed Rhabdomyosarcoma,Completed,Interventional,2006-09-01,Children's Oncology Group,Other,National Cancer Institute (NCI),NIH,3,Australia Canada Netherlands New Zealand Puerto Rico Switzerland United States,True,cyclophosphamide; vincristine sulfate; ,,,483.0,3,True,True,False
NCT00002996,Flecainide in Treating Patients With Chronic Neuropathic Pain,Completed,Interventional,2006-04-01,Eastern Cooperative Oncology Group,Other,National Cancer Institute (NCI),NIH,2,United States,True,flecainide acetate; ,,,20.0,2,True,True,False
NCT00003008,Paclitaxel in Treating Patients With AIDS-Related Kaposi's Sarcoma,Completed,Interventional,2006-06-01,Eastern Cooperative Oncology Group,Other,National Cancer Institute (NCI) AIDS Associated Malignancies Clinical Trials Consortium,NIH Other,2,United States,True,indinavir sulfate; nelfinavir mesylate; paclitaxel; ritonavir; saquinavir mesylate; ,,,33.0,2,True,True,False
NCT00003027,Combination Chemotherapy With or Without Interleukin-2 and Interferon Alfa in Treating Patients With Metastatic Melanoma,Completed,Interventional,2007-07-01,Eastern Cooperative Oncology Group,Other,National Cancer Institute (NCI) Southwest Oncology Group Cancer and Leukemia Group B,NIH Other Other,3,United States,True,cisplatin; dacarbazine; vinblastine; ,,,482.0,3,True,True,False
NCT00003092,Paclitaxel in Treating Older Patients With Solid Tumors,Completed,Interventional,2006-03-01,Alliance for Clinical Trials in Oncology,Other,National Cancer Institute (NCI),NIH,3,United States,True,paclitaxel; ,,,120.0,3,True,True,False
NCT00003093,Combination Chemotherapy in Treating Children With Neuroblastoma,Completed,Interventional,2006-09-01,Children's Oncology Group,Other,National Cancer Institute (NCI),NIH,3,Australia Canada Netherlands New Zealand Puerto Rico Switzerland United States,True,carboplatin; cyclophosphamide; doxorubicin hydrochloride; etoposide; ,,,573.0,3,True,False,True
NCT00003116,High-Dose Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer,Completed,Interventional,2006-03-01,Case Comprehensive Cancer Center,Other,National Cancer Institute (NCI),NIH,2,United States,True,busulfan; cyclophosphamide; cyclosporine; ,,,66.0,2,True,True,False
NCT00003128,"Ifosfamide With or Without Paclitaxel in Treating Patients With Advanced, Refractory, or Recurrent Cancer of the Uterus",Completed,Interventional,2007-02-01,Gynecologic Oncology Group,Other,National Cancer Institute (NCI) Eastern Cooperative Oncology Group,NIH Other,3,United States,True,ifosfamide; paclitaxel; ,,,166.0,3,True,True,False
NCT00003134,Irinotecan in Treating Patients With Recurrent Glioma,Completed,Interventional,2009-01-01,Alliance for Clinical Trials in Oncology,Other,National Cancer Institute (NCI),NIH,2,United States,True,irinotecan hydrochloride; ,,,64.0,2,True,True,False
NCT00003138,Erythropoietin (EPO)+/- Filgrastim (G-CSF) vs. Supportive Therapy Alone for Patients With Myelodysplastic Syndromes,Completed,Interventional,2008-08-01,Eastern Cooperative Oncology Group,Other,National Cancer Institute (NCI),NIH,3,United States,False,,,2013-09-11,118.0,3,True,False,False
